Unnamed: 0,video_id,channelTitle,title,tags,publishedAt,viewCount,likeCount,commentCount,subscriberCount,duration,definition,thumbnail-url,hue,saturation,lightness,face_count
174,Skiuuk1HPfg,Red Bull,Paragliding Through Heavy Weather - Red Bull X-Alps 2015 - Day 7 + 8,"['red bull x alps', 'x-alps', 'adventure', 'adventure race', 'adventure racing', 'red bull xalps', 'toughest adventure race', 'toma coconea', 'mountain', 'run', 'running', 'climb', 'climbing', 'paragliding', 'paraglide', 'fly', 'flying', 'race', 'competition', 'endurance', 'worlds toughest', 'mtb', 'bike', 'mountain bike', 'biking', 'cycling', 'red bull', 'redbull', 'touhg mudder', 'spartan race', 'action sports', 'extreme sports', 'red bull x-alps']",2015-07-16T00:00:01Z,119664,604.0,9.0,,PT4M31S,hd,https://i.ytimg.com/vi/Skiuuk1HPfg/hqdefault.jpg,72.93867492675781,0.0945236086845398,0.4923922121524811,0.0
175,bqK7E61gB7A,ESPN,'Do not mess with the officials' right now - Brian Windhorst to NBA players and coaches | The Jump,"['gregg popovich', 'gregg popovich the jump', 'popovich ejected 63 seconds', 'gregg popovich ejected 63 seconds', 'kevin durant ejected', 'stephen curry', 'stephen curry mocks ref', 'steph curry mocks ref', 'stephen curry laughs at ref', 'draymond green', 'kevin durant', 'steph curry', 'spurs vs nuggets', 'warriors vs nuggets', 'steve kerr', 'the jump', 'the jump nba', 'the jump today', 'rachel nichols', 'rachel nichols the jump', 'brian windhorst', 'tracy mcgrady', 'espn', 'espn live', 'nba']",2019-04-04T22:30:00Z,211746,1674.0,394.0,,PT3M37S,hd,https://i.ytimg.com/vi/bqK7E61gB7A/hqdefault.jpg,303.8270263671875,0.2958251535892486,0.1915061026811599,0.0
176,GzIFLIC6KuU,FC Barcelona,🔴 FULL LIVESTREAM: BARÇA OPEN DOORS TRAINING SESSION,"['FC Barcelona', 'برشلونة،', 'Fútbol', 'FUTBOL', 'soccer', 'FUTEBOL', 'Sepakbola', 'サッカー', 'كرة القدم', 'football', 'FCB', 'Barça', 'Sport', 'Club', 'Barcelona', 'CAMP NOU', 'ter stegen', 'pique', 'busquets', 'goat', 'dembele', 'lenglet', 'yt:cc=on', 'ansu fati', 'riqui puig', 'koeman', 'coutinho', 'pedri', 'de Jong', 'Memphis', 'depay', 'Live', 'Pre-season', 'Live Training', '2022/23 season', 'Kessié', 'Christensen', 'Xavi Herrnández', 'Aubameyang', 'Ferran Torres', 'Lewandowski', 'New York', 'Koundé', 'Open Doors', '4-0', 'Valladolid', 'Barça-Valladolid', 'FC Barcelona vs Valladolid']",2022-08-31T18:15:58Z,325225,14329.0,136.0,,PT1H9M11S,hd,https://i.ytimg.com/vi/GzIFLIC6KuU/hqdefault.jpg,123.5583038330078,0.3594380617141723,0.2495088875293731,1.0
177,bil95eb8slc,Sky Sports Darts,GOOSEBUMPS 🙌 Joe Cullen's memorable Oasis walk-on at the World Darts Championship,"['Sky Sports', 'Sky Sports Darts', 'darts', 'darts highlights', 'pdc', 'pdc darts', 'joe cullen', 'cullen', 'joe cullen world championships', 'joe cullen walk on', 'joe cullen oasis walk-on', 'world darts championship', 'darts worlds', 'world championship darts', 'best darts walk-ons', 'walk-ons best bits', 'world championship best walk-ons', 'nine-darters', 'oasis']",2022-02-01T14:32:29Z,481216,6734.0,106.0,,PT2M4S,hd,https://i.ytimg.com/vi/bil95eb8slc/hqdefault.jpg,295.3439025878906,0.4705252647399902,0.1779265403747558,1.0
178,_HIfdFm30do,Lieblingsköder,Bedienungsanleitung ZANDERWOBBLER 🎣 🎣 🎣,"['Zanderangeln', 'Zander fangen', 'Angeln auf Zander', 'Zander Tipps', 'Zander angeln Methoden', 'Zander angeln Anfänger', 'Zander Gewässer', 'Nachtangeln Zander', 'Zanderangeln Deutschland', 'Zander angeln Ausrüstung', 'Zanderwobbler', 'Wobbler für Zander', 'Zander angeln mit Wobbler', 'Zander Köder', 'Wobbler Nachtangeln', 'Wobbler Test Zander', 'Angeln Wobbler Tipps', 'Bester Zanderwobbler', 'Lieblingsköder', 'Lieblingsköder Zander', 'Zander Lieblingsköder', 'Lieblingsköder Test', 'Gummifisch Zander', 'Angeln', 'Zanderfang']",2024-12-20T19:02:33Z,68261,1225.0,791.0,,PT21M37S,hd,https://i.ytimg.com/vi/_HIfdFm30do/hqdefault.jpg,38.47201919555664,0.3413750827312469,0.2899455726146698,0.0
179,4yUbMnCT_qo,أبو حضرم | Abu Hadram,هاذي الحقيقة للأسف 🤷🏻‍♂️😂 #ريال_مدريد #ليفربول #برشلونة #halamadrid #realmadrid #foryou #fyp,,2024-12-20T20:11:03Z,222435,17897.0,592.0,,PT46S,hd,https://i.ytimg.com/vi/4yUbMnCT_qo/hqdefault.jpg,343.8750915527344,0.3374503254890442,0.2968388199806213,1.0
180,D8Nl0bUwKss,Sportschau,"Ausreißer, Gruppetto, Sprint, Karenzzeit und Co - Deine Tour, Folge 8 | Sportschau","['Sportschau', 'Tour de France', 'Tour de France 2022', 'Deine Tour', 'Rick Zabel', 'Lea Wagner', 'Tour de France Taktik', 'Radsport Taktik', 'Taktik Radrennen', 'Gruppetto', 'Sprintzug', 'Sprintvorbereitung', 'Radsport Gruppe', 'Peloton', 'Radsport Wissen', 'Taktik Tour de France', 'Sprint', 'Ausreißer', 'Ausreißergruppe', 'Karenzzeit', 'Karenzzeit Radsport', 'Karenzzeit Tour de France']",2022-07-09T08:46:51Z,188295,2505.0,87.0,,PT14M26S,hd,https://i.ytimg.com/vi/D8Nl0bUwKss/hqdefault.jpg,355.0883483886719,0.3018931746482849,0.3092647194862366,0.0
181,mA0b-e1kfOI,ESPN,LeBron James needs to have the ball in his hands at ALL TIMES! - Zach Lowe | NBA Today,"['lebron james lakers', 'darvin ham lebron james', 'lebron james', 'darvin ham', 'los angeles lakers', 'lakers', 'darvin ham lakers', 'anthony davis', 'russell westbrook', 'nba', 'nba on espn', 'espn', 'espn nba', 'lebron', 'nba today', 'lakers news', 'nba espn', 'nba news', 'darvin ham head coach', 'darvin ham interview', 'nba highlights', 'nba today espn', 'darvin ham lebron', 'espn nba today', 'lebron james highlights', 'lakers head coach', 'darvin ham la lakers', 'la lakers darvin ham', 'darvin ham los angles lakers']",2022-07-22T19:28:50Z,62893,975.0,219.0,,PT3M16S,hd,https://i.ytimg.com/vi/mA0b-e1kfOI/hqdefault.jpg,326.0597229003906,0.3582703173160553,0.195641204714775,0.0
182,BZb2Z5wSH5Y,FORMULA 1,Norris On His Magical Maiden Podium In Austria | Through The Visor,"['F1', 'Formula One', 'Formula 1', 'Sports', 'Sport', 'Action', 'GP', 'Grand Prix', 'Auto Racing', 'Motor Racing', 'Lando Norris', 'Norris', 'Lando Norris 2020', '2020 F1', 'Lando F1', 'Norris F1', 'Austria 2020', 'Austria 2022']",2022-07-07T11:30:03Z,331527,14590.0,279.0,,PT6M5S,hd,https://i.ytimg.com/vi/BZb2Z5wSH5Y/hqdefault.jpg,320.7528381347656,0.2948213815689087,0.2461742758750915,1.0
183,sQ-Llutn0Lk,RTL Sport,Leicester City vs. AS Rom – Highlights & Tore | UEFA Europa Conference League,"['UEFA', 'Sport', 'RTL Sport', 'FIFA', 'Fussball', 'Fußball', 'Soccer', 'Football', 'Tennis', 'Formel 1', 'Race Day', 'RTL', 'TVNOW', 'RTL+', 'RTLplus', 'RTL Plus', 'NITRO', 'Conference League', 'UEFA Europa League', 'Europa League', 'Pokal', 'Qualifikation', 'Anna Kraft', 'Laura Papendick', 'Roman Weidenfeller', 'Steffen Freund', 'Laura Wontorra', 'Thomas Wagner', 'Timo Latsch', 'Union Berlin', 'Bayer Leverkusen', 'Marco Hagemann', 'Eintracht Frankfurt', 'Matchday', 'Lukas Podolski', 'Karl-Heinz Riedle', 'Robby Hunke', 'Arnd Zeigler', 'RTL +']",2022-04-29T04:00:16Z,194443,2406.0,65.0,,PT4M52S,hd,https://i.ytimg.com/vi/sQ-Llutn0Lk/hqdefault.jpg,9.917818069458008,0.3008378446102142,0.2290625274181366,0.0
184,dUr4tLCRe3Q,WWE Deutschland,Top 10 Raw Momente: WWE Top 10 — 19. Oktober 2015,"['WWE', 'WWE Deutschland', 'WWE Germany', 'Wrestling']",2015-10-20T22:24:39Z,647585,11228.0,100.0,,PT5M24S,hd,https://i.ytimg.com/vi/dUr4tLCRe3Q/hqdefault.jpg,243.72911071777344,0.2139732092618942,0.1453275233507156,0.0
185,LVju9RVhAdk,Wimbledon,Serena Williams vs Julia Goerges Wimbledon 2019 Third Round Highlights,"['Tennis', 'Wimbledon', 'wimbledon 2019', 'wimbledon championship', 'wimbledon tennis', 'wimbledon video', 'third round', 'highlights', 'fortnight', 'Championships', 'Serena', 'Williams', 'Serena Williams', 'Julia Goerges', 'Julia', 'Goerges', 'sport']",2019-07-06T14:25:29Z,236570,1197.0,134.0,,PT3M7S,hd,https://i.ytimg.com/vi/LVju9RVhAdk/hqdefault.jpg,178.16476440429688,0.1921736449003219,0.3317939043045044,1.0
186,oqrIUhjh_3U,Eurosport,Sui Wenjing and Han Cong make history in Beijing | 2022 Winter Olympics,"['eurosport', 'live sport', 'sports', 'olympic games', 'Beijing 2022', 'Winter Olympics', 'winter olympic sports', 'beijing 2022 opening ceremony', 'beijing olympics', 'winter olympics 2022', 'beijing olympics 2022', 'winter games olympics', 'beijing 2022 winter olympics medals', 'Han Cong', 'Sui Wenjing', 'figure skating', 'kamila valieva', 'ice skating', 'olympics highlights', 'adam rippon', 'watch olympics', 'olympic sports', 'olympics highlights 2022', 'figure skating olympics 2022', 'figure skating olympics']",2022-02-18T14:19:14Z,320613,5036.0,226.0,,PT5M52S,hd,https://i.ytimg.com/vi/oqrIUhjh_3U/hqdefault.jpg,350.1744689941406,0.1372997015714645,0.5280178785324097,0.0
187,VYSTaVBpwPg,FORMULA 1,Top 10 Moments of Schumacher Brilliance,"['F1', 'Formula One', 'Formula 1', 'Sports', 'Sport', 'Action', 'GP', 'Grand Prix', 'Auto Racing', 'Motor Racing', 'Michael Schumacher', 'Brilliant', 'Top 10', 'Overtake', 'Pass', 'Moment', 'Genius', 'Clever', 'Speed', 'Fast', 'Pole', 'Race', 'Spain 1995', 'Gearbox', 'Rain', 'Rainmeister', 'Belgium', 'Damon Hill', 'Mika Hakkinen']",2019-01-04T13:19:12Z,6088039,80297.0,3487.0,,PT6M50S,hd,https://i.ytimg.com/vi/VYSTaVBpwPg/hqdefault.jpg,345.53448486328125,0.2927303910255432,0.2995943129062652,1.0
188,C1jVKZBGYT8,SV2,11 YEAR OLD KID NEYMAR vs PRO FOOTBALLER,"['kid messi', 'messi', 'kid ronaldo', 'football', 'soccer', 'futbol', 'sports', 'premier leauge', 'football skills', 'freestlye', 'best footbaler', 'football moments', 'best football goals', 'kids in football', 'futsal', 'premier league', 'sv2', 'fut crunch', '1v1 football', 'trending', 'ronaldo', 'messi vs ronaldo', 'kid Ronaldo', 'kid messi vs kid Ronaldo', 'kylian mbappe', 'cristiano Ronaldo', 'family friendly', 'kids football', 'kids soccer', 'pro footballer', 'erling haaland', 'sidemen', 'viral football', 'best football moments', 'neymar jr', 'fc25']",2024-12-21T18:31:43Z,715923,5273.0,286.0,,PT20M59S,hd,https://i.ytimg.com/vi/C1jVKZBGYT8/hqdefault.jpg,357.047119140625,0.5562185645103455,0.4308976233005523,1.0
