,video_id,channelTitle,title,tags,publishedAt,viewCount,likeCount,commentCount,duration,definition
10,0bAr_o6_h6Y,JOSE OJEDA ROJAS,"25 Python colab, machine learning avanzado","['josecodetech', 'developer', 'tutorial', 'aprende', 'programacion', 'curso gratis', 'python', 'script', 'aprende con jose', 'aprende a programar', 'aprendiendo programacion', 'codigo', 'colab', 'programacion desde cero', 'python desde cero', 'curso de python', 'tutorial python', 'python para principiantes', 'curso python desde cero', 'aprender python', 'programacion python', 'curso', 'gratis', 'google colab', 'datos', 'libreria', 'dataframe', 'pandas', 'pipelines', 'machine learning', 'validacion cruzada']",2024-11-07T21:30:01Z,17,1,1,PT26M47S,hd
11,gz-8fBB2Kxc,PineTrades,NEW Supertrend Indicator Uses Machine Learning To Predict Trends,"['Machine Learning Adaptive Supertrend', 'Supertrend with machine learning', 'volatility prediction indicator', 'forex trading strategies', 'Machine Learning in trading', 'k-means clustering in trading', 'Supertrend TradingView', 'Machine Learning Adaptive Supertrend settings', 'Chart Prime indicators', 'long and short positions trading', 'advanced Supertrend indicator', 'buy-sell signal generator', 'forex entry and exit signals', 'trend filter strategy', 'pullback trading strategy', 'machine learning forex']",2024-11-07T11:06:03Z,8763,446,75,PT8M34S,hd
12,yN7ypxC7838,Learn with Whiteboard,All Machine Learning Models Explained in 5 Minutes | Types of ML Models Basics,"['machine learning models', 'machine learning models explained', 'machine learning', 'ml models explained', 'machine learning models basics', 'example', 'supervised learning', 'machine learning models for beginners', 'machine learning models overview', 'machine learning models from scratch', 'ml models basics', 'regression', 'unsupervised learning', 'classification', 'beginners', 'basics', 'overview', 'types of ml models', 'basics of machine learning models']",2020-05-16T01:59:09Z,1283582,30568,412,PT5M1S,hd
13,7eh4d6sabA0,Programming with Mosh,Python Machine Learning Tutorial (Data Science),"['machine learning python', 'machine learning tutorial', 'machine learning', 'python', 'python tutorial', 'jupyter notebook', 'data science', 'python data science', 'python tutorial advanced', 'data science python', 'python machine learning', 'artificial intelligence', 'programming with mosh', 'mosh hamedani', 'code with mosh', 'jupyter', 'machine learning tutorial for beginners', 'machine learning with python', 'data science tutorial', 'machine learning course', 'python programming', 'introduction to machine learning']",2020-09-17T13:00:03Z,2980417,67448,1895,PT49M43S,hd
14,U6dmin6LzVw,ChemCoder,Machine learning and AI is extremely easy if you learn the math: My rant.,"['machine learning', 'ai', 'artificial intelligence', 'ML', 'data science', 'machine learning with python', 'ml roadmap', 'ai roadmap', 'math in ml']",2024-09-01T22:42:17Z,104291,4165,806,PT6M47S,hd
15,Y5x8xvDnLXk,Janani K. Jha,Janani K. Jha  - Machine Learning (Official Lyric Video),,2022-11-04T04:00:08Z,121701,3351,122,PT2M38S,hd
16,WTt51-5K3L8,Ferry,COS'È IL MACHINE LEARNING ?,"[""ferry's tech"", 'ferry', 'andrea ferrario', 'ai', 'ia', 'machine learning', 'ml', 'intelligenza artificiale']",2020-01-06T13:00:05Z,25660,2480,69,PT7M11S,hd
17,hDKCxebp88A,freeCodeCamp.org,Machine Learning with Python and Scikit-Learn – Full Course,,2023-11-22T14:04:54Z,445722,11969,385,PT18H35S,hd
18,0oyDqO8PjIg,freeCodeCamp.org,"AI Foundations Course – Python, Machine Learning, Deep Learning, Data Science",,2024-11-05T15:32:42Z,84602,4237,125,PT10H22M26S,hd
19,aircAruvnKk,3Blue1Brown,"But what is a neural network? | Chapter 1, Deep learning","['three brown one blue', '3 brown 1 blue', 'neural networks', 'three blue one brown', '3 blue 1 brown', 'machines learning', '3brown1blue', '3b1b', 'deep learning', 'one', 'Mathematics', 'blue', 'three', 'brown']",2017-10-05T15:11:25Z,17714899,433441,7628,PT18M40S,hd
20,4RixMPF4xis,IBM Technology,AI vs Machine Learning,"['IBM', 'IBM Cloud', 'ai', 'artificialintelligence', 'artificial intelligence', 'ML', 'machinelearning', 'machine learning', 'deep learning', 'deeplearning']",2023-04-10T11:00:03Z,1187963,35368,806,PT5M49S,hd
21,GXxjd1za6jk,Greg Hogg,Learning Machine Learning has never been easier #shorts #machinelearning #statistics #datascience,,2022-04-20T18:16:10Z,894041,49687,259,PT28S,hd
22,FmS3iPmkRXM,Nicholas Renotte,DO NOT start your MACHINE LEARNING journey like this...,"['machine learning', 'data science']",2023-02-07T03:28:37Z,38182,3038,46,PT47S,hd
23,UTkYv9-0fL8,EDteam,¿Cómo funciona ChatGPT y toda la inteligencia artificial? (Machine Learning),,2023-02-10T20:56:33Z,40275,1975,67,PT15M2S,hd
24,h0e2HAPTGF4,MIT OpenCourseWare,11. Introduction to Machine Learning,"['machine learning', 'classification method', 'Minkowski metric', 'supervised learning', 'computer modelling', 'signal-to-noise', 'feature vectors', 'classification model', 'regression model']",2017-05-19T14:22:40Z,1660607,23776,444,PT51M31S,hd
25,z18nw4adsx4,Unfold Data Science,10 ML algorithms in 45 minutes | machine learning algorithms for data science | machine learning,"['10 ML algorithms in 45 minutes', 'machine learning algorithms for data science', 'machine learning algorithm interview question and answers', 'machine learning algorithm in hindi', 'machine learning algorithm mathematics', 'machine learning all topics', 'machine learning algorithm telugu', 'machine learning algorithm projects', 'machine learning algorithmic trading', 'machine learning algorithm in', 'machine learning algorithm in tamil', 'ml algorithms interview questions', 'ml algorithm hindi']",2022-12-27T12:24:36Z,322458,8661,230,PT46M18S,hd
26,q6kJ71tEYqM,IBM Technology,Machine Learning vs Deep Learning,,2022-03-31T11:00:32Z,710822,22656,235,PT7M50S,hd
27,ya_6I9IVMzY,Doktor Whatson,Wie funktioniert eigentlich Machine Learning?,"['Doktor', 'Watson', 'Whatson', 'DrWhatson', 'Wissenschaft', 'Physik', 'erklärt', 'Frage', 'lernen', 'machine learning', 'neuronale netze', 'neuronales netzwerk', 'ai', 'künstliche intelligenz', 'ki', 'artificial intelligence', 'gesichtserkennung', 'neuron']",2018-03-01T13:24:53Z,224791,7134,257,PT8M11S,hd
